MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
M00011	86949.0216537333	257934.069143167	56026.9385826	22838.4966666923	82381.5634302857	180815.870426062	32945.53033575	32425.9070554375	219932.297093571	114435.174165812	39343.456432875	129593.6185786	149134.285607188	286048.525992636	108178.003513786	16014.7266271765	49023.7935177333	310870.432561917	59283.8601062667	336552.7966384	49433.4875876471	60018.930031625	76965.8147496	94679.1648844118	105372.876278	246847.818481583	139568.3342015	14359.7309163571	206979.821894857	143331.761590941	421470.310838417	26648.1116648333	76411.4666487647	4447.1831525
M00012	11366.5583333333	32060.5729166667	10819.5	11945.8173076923	19390.2857142857	25239.375	9522.46875	6646.8828125	24273.0357142857	14891.328125	7643.5703125	16766.2875	18537.6171875	35956.4431818182	14923.75	2190.38235294118	7037	26870.3020833333	8418.075	31440.7583333333	6681.39705882353	4515.7734375	11674.5833333333	10216.6985294118	15118.5357142857	35943.0520833333	34369.4166666667	6580.83035714286	29354.4910714286	18591.7205882353	53684.9791666667	9982.83333333333	16961.3235294118	2345.83928571429
M00013	57.9416666666667	3.85416666666667	12.4333333333333	10.4134615384615	7.19642857142857	3.4296875	1.140625	1.7109375	5.3125	3.1953125	1.765625	5.65	11.984375	3.54545454545455	4.00892857142857	5.89705882352941	8.95833333333333	7.6875	3.68333333333333	1.75833333333333	1.67647058823529	1.0859375	1.96666666666667	2.80882352941176	4.55357142857143	10.3854166666667	29.2083333333333	8.23214285714286	23.1964285714286	2.89705882352941	7.10416666666667	12	15.5294117647059	1.65178571428571
M00014	8578	28412.6166666667	6148.81333333333	4314.98461538462	9941.85714285714	20817.4	4214.975	3583.0875	17415.4857142857	11165.175	4236.125	10707.18	14481.725	27740.7818181818	10474.6285714286	1382.84705882353	7826.90666666667	21140.1166666667	5841.54666666667	28357.84	6172.2	4767.45	8468.96	8683.29411764706	12243.1428571429	21731.1333333333	15884.5	2585.38571428571	19292.4142857143	13903.2941176471	37401.4333333333	4553.23333333333	10156.8352941176	1218.94285714286
M00015	23665.9	76798.25	15770.6	20180.25	28661.6785714286	43853.578125	15233.484375	11708.296875	45333.8571428571	30458.671875	14612.0625	31016.175	40017.609375	69035.1136363636	32776.2321428571	4214.95588235294	13567.05	64613.4375	15085.3	74122.7	11410.6323529412	12426.09375	25591.15	23720.7352941176	25286.8392857143	75244.8125	55006.625	10436.8928571429	54165.1071428571	37631.4705882353	110157.3125	10387.6875	28152.4411764706	5744.03571428571
M00016	83804.10193	187635.349493333	63328.7308119333	70389.2029437692	106506.471966429	128726.611412	44288.0025805	37769.3560906875	161281.007256857	94029.9323459375	46378.076383	108716.1816653	113052.491875125	218541.160209545	81843.9842516429	12888.7009924118	67205.8309768667	202727.951933333	58498.2874917333	212962.031056333	43505.4264745294	47955.363920375	84049.4808049333	87796.9816535882	96701.6498936429	232209.8879785	191718.328198667	34293.5248317143	152289.2855195	116224.431198647	274577.81687225	51636.34217625	82405.5086249412	16815.8854662857
M00017	43015.8128002667	95264.5399528333	32846.3779551333	30537.2530251538	52055.2851167143	71692.45284675	22138.2621889375	21453.709396	89105.0340896429	48866.8341153125	24047.2262388125	59802.6692938	60854.7084184375	113407.955425091	38190.4435752143	7239.07213141176	31169.2665418	132704.074944333	31863.1911154667	123550.889949667	21546.9250114706	28220.6662623125	41328.3272726667	47550.3388185882	51707.3716326429	134165.95498975	101886.980476667	17159.4393827143	83819.7354389286	59894.0319475294	146785.85258625	21287.4062044167	41402.4802391765	7011.76199535714
M00018	40738.1533333333	106155.116666667	28058.9733333333	27593.3538461538	53097.7	70136.40625	20168.9875	17348.94375	84939.9214285714	45532.1375	20137.24375	56581.13	63117.13125	111142.736363636	44956.45	6622.68235294118	23921.28	123482.841666667	25429.0666666667	113198	19151.5705882353	25227.94375	38988.24	46197.1529411765	47641.8785714286	120513.908333333	82596.1333333333	13943.0285714286	84731.7714285714	55051.6294117647	151376.666666667	23254.35	41834	6604.5
M00019	58184.9709611333	155698.809897167	44794.5822547333	52844.1585948462	70100.0844154286	105809.584549812	31447.1274943125	24609.2011725	98994.0760620714	66477.89727175	29256.44949675	70184.1225252	78924.96843	161552.004454455	74775.2018865	10765.0452307647	51691.8245284667	124330.9596615	37238.6540085333	160028.200763667	35235.9868084706	30345.991643125	57601.7547370667	54587.0677718235	72506.9237497857	153386.292722	140089.754157	20673.301902	107802.874612786	82424.5258537059	228586.084715667	37301.0243805	57595.5504041176	12279.7690140714
M00020	29914.2	98035	17096.1333333333	18633.4615384615	34992.1428571429	50395.9375	15701.875	11228.125	39947.7857142857	34312	12339.75	28605.5	46735	84755.6363636364	46200.5	4366.23529411765	20721.8	51650.5833333333	14444	79543.6666666667	14701.7058823529	13250.0625	27219.9333333333	31545.6470588235	31482.7142857143	70323.4166666667	60772	9763.71428571429	62746	42275.8235294118	121441.583333333	19735.3333333333	31501	5340.71428571429
