	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs15	5.90688259109	6.8689370485	6.50558213716	7.85263157895	5.36699857752	5.73684210526	5.92763157895	6.28692699491	6.41447368421	5.61052631579	0.0	6.45029239766	6.94258373206	6.51219512195	6.5466893039	5.28070175439	6.12280701754	7.12631578947	6.24342105263	7.42105263158	6.3201754386	6.99248120301	6.95614035088	6.62648556876	7.32894736842	7.00309597523	5.79949874687	6.02722323049	7.25438596491	7.23230490018	6.44816586922
MCTs16	7.4188034188	7.09803921569	7.41414141414	7.97333333333	6.73873873874	6.52777777778	7.59027777778	6.78853046595	7.18055555556	6.11111111111	6.45029239766	0.0	7.75757575758	7.58265582656	6.88172043011	7.25	7.77777777778	7.92777777778	7.21527777778	8.22807017544	7.11111111111	7.16825396825	6.77777777778	7.53405017921	7.65277777778	7.56862745098	7.33333333333	7.24904214559	8.13888888889	6.7662835249	7.25252525253
MCTs18	5.65967365967	4.91622103387	4.60606060606	4.85575757576	5.72809172809	6.22727272727	5.50189393939	5.56207233627	5.17045454545	6.11515151515	6.94258373206	7.75757575758	0.0	4.39911308204	5.62072336266	5.61363636364	5.09090909091	4.89545454545	5.87121212121	4.7288676236	4.85606060606	5.24502164502	6.08333333333	5.82600195503	6.36742424242	5.03386809269	5.01731601732	6.42424242424	5.78787878788	4.73354231975	6.24242424242
MCTs19	5.38961851157	5.33046389287	5.24611973392	5.33658536585	5.69545154911	5.68699186992	5.51524390244	5.73878835563	5.18699186992	6.44227642276	6.51219512195	7.58265582656	4.39911308204	0.0	5.90558615264	5.24796747967	4.43902439024	5.34512195122	5.72408536585	4.95250320924	5.30081300813	4.87386759582	6.00406504065	6.18095987411	5.86890243902	5.28407460545	5.33797909408	6.19512195122	6.65243902439	4.80403700589	5.78861788618
MCTs20	5.2158808933	5.3523086654	5.59139784946	6.9264516129	6.05405405405	5.77956989247	5.62298387097	5.61290322581	5.50268817204	5.89892473118	6.5466893039	6.88172043011	5.62072336266	5.90558615264	0.0	5.77956989247	5.37275985663	5.33225806452	5.49596774194	6.03735144312	6.02956989247	5.66267281106	7.12096774194	6.51612903226	6.56451612903	5.67362428843	5.10599078341	5.8042269188	7.15053763441	5.20800889878	5.55425219941
MCTs21	5.33333333333	6.54901960784	6.15909090909	6.24333333333	5.72297297297	5.25	5.89583333333	6.01075268817	5.16666666667	5.7	5.28070175439	7.25	5.61363636364	5.24796747967	5.77956989247	0.0	5.47222222222	6.58333333333	4.60416666667	6.08333333333	5.75	5.52142857143	6.58333333333	5.7688172043	6.5	6.17647058824	5.11904761905	5.78448275862	6.41666666667	6.1091954023	5.72727272727
MCTs22	5.01709401709	5.87581699346	4.9595959596	6.09555555556	6.13213213213	6.02777777778	4.90277777778	5.94444444444	4.84722222222	6.01111111111	6.12280701754	7.77777777778	5.09090909091	4.43902439024	5.37275985663	5.47222222222	0.0	4.69444444444	5.54166666667	4.36257309942	5.41666666667	4.83333333333	7.0	5.2311827957	6.59722222222	4.75816993464	4.79365079365	5.89846743295	6.58333333333	5.86973180077	6.30303030303
MCTs23	5.29615384615	5.4068627451	5.00151515152	6.34	6.26621621622	6.38333333333	5.025	5.88387096774	6.15833333333	6.51666666667	7.12631578947	7.92777777778	4.89545454545	5.34512195122	5.33225806452	6.58333333333	4.69444444444	0.0	6.1125	5.14210526316	5.16666666667	4.52142857143	6.95	6.42258064516	6.375	4.99705882353	5.02619047619	6.51206896552	7.28333333333	5.30862068966	7.08484848485
MCTs24	5.03525641026	5.84558823529	5.44507575758	6.5575	6.30067567568	6.10416666667	5.8125	5.9435483871	5.75	6.1875	6.24342105263	7.21527777778	5.87121212121	5.72408536585	5.49596774194	4.60416666667	5.54166666667	6.1125	0.0	5.89144736842	5.45833333333	5.525	6.16666666667	6.20161290323	6.25	5.88970588235	5.07738095238	5.67456896552	6.54166666667	6.2349137931	6.33143939394
MCTs25	5.92037786775	5.47471620227	5.30462519936	5.00842105263	6.31294452347	6.6798245614	6.03618421053	5.80475382003	4.81359649123	6.35438596491	7.42105263158	8.22807017544	4.7288676236	4.95250320924	6.03735144312	6.08333333333	4.36257309942	5.14210526316	5.89144736842	0.0	5.73245614035	5.05413533835	7.23245614035	6.25806451613	6.84210526316	5.23219814241	5.01002506266	6.75317604356	5.87280701754	5.50635208711	5.87400318979
