	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0375	50.0	3.00370169606	17.5	0.85	10.0
MCT.f.0376	34.0	2.49560292373	10.0	0.785714285714	7.0
MCT.f.0377	33.0	2.38989809546	6.5	0.791111111111	6.0
MCT.f.0379	45.0	3.0391486719	11.5	0.867346938776	9.0
MCT.f.0380	61.0	3.4273334939	15.75	0.897959183673	12.0
MCT.f.0384	44.0	2.78989809546	10.0	0.835555555556	8.0
MCT.f.0385	32.0	2.45914791703	6.33333333333	0.805555555556	6.0
MCT.f.0386	38.0	2.55503653258	8.5	0.8046875	7.0
MCT.f.0388	48.0	3.06085546879	10.75	0.860946745562	10.0
MCT.f.0389	39.0	2.56507654234	7.33333333333	0.808864265928	7.0
MCT.f.0390	38.0	2.98009141225	9.33333333333	0.860946745562	9.0
MCT.f.0431	31.0	2.21702188588	7.5	0.734693877551	6.0
MCT.f.0434	41.0	2.31290729185	11.0	0.704861111111	8.0
MCT.f.0436	18.0	1.15677964945	3.0	0.46	3.0
MCT.f.0438	41.0	2.55217969707	10.0	0.808641975309	7.0
MCT.f.0439	41.0	2.84022392894	8.6	0.844444444444	8.0
MCT.f.0440	39.0	2.85845859334	9.0	0.8515625	8.0
MCT.f.0520	26.0	1.57889790299	5.5	0.54	5.0
MCT.f.0547	27.0	1.95281953111	5.0	0.6796875	5.0
MCT.f.0550	51.0	3.10567218427	20.0	0.87074829932	10.0
MCT.f.0551	51.0	3.09019987652	13.0	0.868055555556	10.0
MCT.f.0553	49.0	3.04554371156	13.0	0.865650969529	10.0
MCT.f.0557	26.0	2.05458516934	5.5	0.722222222222	5.0
MCT.f.0558	37.0	2.65150264087	7.0	0.826446280992	7.0
MCT.f.0561	28.0	2.06703149516	6.0	0.734693877551	5.0
MCT.f.0613	18.0	0.773228348525	4.0	0.272189349112	3.0
MCT.f.0615	20.0	1.61839410884	4.0	0.595155709343	4.0
MCT.f.0618	33.0	2.20623892865	7.5	0.737777777778	6.0
MCT.f.0620	42.0	2.79733081715	15.0	0.831632653061	9.0
MCT.f.0623	47.0	2.85590492247	11.0	0.834467120181	9.0
MCT.f.0626	31.0	2.16165592271	6.0	0.725694444444	6.0
MCT.f.0627	37.0	2.26236237739	8.5	0.716553287982	7.0
MCT.f.0302	29.0	2.11807820935	5.5	0.743801652893	5.0
MCT.f.0126	53.0	2.98469700253	11.5	0.84375	10.0
MCT.f.0243	29.0	2.11328333429	8.0	0.740740740741	5.0
MCT.f.0041	59.0	2.88124024102	14.3333333333	0.809917355372	11.0
MCT.f.0263	34.0	2.29004153608	7.5	0.732461355529	7.0
MCT.f.0330	38.0	2.43073572763	7.5	0.783163265306	7.0
MCT.f.0336	32.0	2.50325833478	6.75	0.814814814815	6.0
MCT.f.0340	35.0	2.35845859334	6.0	0.7734375	6.0
MCT.f.0411	28.0	2.25775606413	5.0	0.781065088757	5.0
MCT.f.0412	22.0	1.84237099318	4.5	0.69387755102	4.0
MCT.f.0413	17.0	1.22439444541	3.0	0.493827160494	3.0
MCT.f.0056	60.0	3.44268029401	13.6	0.891975308642	13.0
MCT.f.0060	47.0	2.78881761403	12.0	0.81811541271	10.0
MCT.f.0303	18.0	1.48322619697	4.0	0.548476454294	4.0
MCT.f.0318	29.0	1.96559623036	5.5	0.702222222222	5.0
MCT.f.0300	44.0	2.88888407054	10.0	0.8448	9.0
MCT.f.0301	32.0	2.27972085246	6.0	0.757369614512	6.0
MCT.f.0378	43.0	2.80735492206	9.5	0.836734693878	8.0
MCT.f.0409	17.0	1.40563906223	3.0	0.59375	3.0
MCT.f.0410	29.0	2.40563906223	7.0	0.796875	6.0
MCT.f.0418	24.0	2.29427406719	6.5	0.770083102493	6.0
MCT.f.0141	16.0	1.5	3.0	0.625	3.0
MCT.f.0151	26.0	2.05458516934	5.5	0.722222222222	5.0
MCT.f.0374	44.0	2.84237099318	10.0	0.84693877551	8.0
MCT.f.0483	24.0	1.59881679716	4.0	0.59375	4.0
MCT.f.0053	63.0	3.20522900274	23.3333333333	0.847222222222	14.0
MCT.f.0144	38.0	2.16096404744	10.0	0.69	7.0
MCT.f.0628	16.0	1.22072890211	5.0	0.448979591837	4.0
MCT.f.0331	36.0	2.55217969707	10.0	0.808641975309	7.0
MCT.f.0604	23.0	1.61718957259	5.0	0.611570247934	4.0
MCT.f.0212	12.0	1.0	3.0	0.5	2.0
MCT.f.0262	36.0	2.39875819327	8.25	0.724279835391	8.0
MCT.f.0087	18.0	1.50902751253	3.0	0.631578947368	3.0
MCT.f.0091	23.0	1.44474700331	4.0	0.551984877127	4.0
MCT.f.0092	18.0	1.09065280325	3.0	0.45867768595	3.0
